company_page,company_name
https://www.dairynews.ru/company/slaktis-ooo/,"Слактис, ООО"
https://www.dairynews.ru/company/agroobedinenie-kuban-ao/,"Рассвет, АО (Агрообъединение Кубань)"
https://www.dairynews.ru/company/interkross-tsentr-ooo/,"Интеркрос Центр, ООО"
https://www.dairynews.ru/company/agrokompleks-imeni-n-i-tkacheva/,Агрокомплекс имени Н.И.Ткачева (Выселки) 
https://www.dairynews.ru/company/apk-prodovolstvennaya-programma-ooo/,"Продовольственная программа АПК, ООО"
https://www.dairynews.ru/company/skhp-voshchazhnikovo-oao/,"Вощажниково СХП, ОАО"
https://www.dairynews.ru/company/skho-belorechenskoe-ao/,"Белореченское, СХ ПАО"
https://www.dairynews.ru/company/plemzavod-amp-quot-trudovoy-amp-quot-zao/,"Племзавод Трудовой, АО"
https://www.dairynews.ru/company/tyumenskie-molochnye-fermy-ooo-damate/,"Тюменские молочные фермы, ООО (Дамате)"
https://www.dairynews.ru/company/pachelmskoe-khozyaystvo-ooo/,"Пачелмское хозяйство, ООО"
https://www.dairynews.ru/company/russkoe-pole-kfkh-ooo-/,"Русское поле, КФХ ООО"
https://www.dairynews.ru/company/moloko-belogorya-zao/,"Молоко Белогорья, ЗАО"
https://www.dairynews.ru/company/narovchatskoe-rao/,"РАО Наровчатское, ОАО"
https://www.dairynews.ru/company/irmen-zao-plemzavod-/,"Ирмень, ЗАО племзавод "
https://www.dairynews.ru/company/khoroshee-delo-ooo/,"Хорошее дело, ООО"
https://www.dairynews.ru/company/vostok-ooo-agrofirma-/,"Восток, ООО Агрофирма"
https://www.dairynews.ru/company/zhk-penkovo-sibirskaya-niva-ooo/,"ЖК Пеньково (Сибирская Нива, ООО)"
https://www.dairynews.ru/company/belgorodskie-molochnye-fermy-oao/,"Белгородские молочные фермы, ОАО"
https://www.dairynews.ru/company/molochnaya-fabrika-ooo/,"Молочная фабрика, ООО"
https://www.dairynews.ru/company/ustyugmoloko-ooo-skhp/,"Устюгмолоко, ООО СХП"
https://www.dairynews.ru/company/spk-kilachevskiy/,"Килачевский, СПК"
