address,holding,name,tel_email
"
                            182112,                             Псковская обл., г. Великие Луки ул. Новосокольническая, д. 32                        ","В составе холдинга «КАБОШ, ГК»","
				Слактис, ООО				,			","+7 (81153) 71665,info@slaktis.ru,
                                ,
                                ,
                            "
"
                            152123,                             Ярославская обл.,Ростовский р-н,с Марково                        ",,"
				Красный маяк, ООО							","+7 (485) 3622335, +7 (48536) 22316 ,krmayak09@yandex.ru"
"
                            658596,                             Алтайский кр, Тюменцевский район, с. Юдиха, ул. Кузнецова, д. 1                        ",,"
				Юдихинский колхоз, СПК							","+7 (38588) 23540 , +7 (385) 1823540"
"
                                                        Воронежская обл., Каменский р-н, с. Волчанское                        ","В составе холдинга «ЭкоНива - АПК Холдинг, УК»","
				ЖК Волчанское (ЭкоНиваАгро, ООО)				,			"," +7 (47391) 98-1-38,agro@ekoniva-apk.com"
"
                            422127,                             Татарстан респ., Кукморский район, с. Олуяз                        ",,"
				Урал, СХПК							","+7 (84364) 39516 ,shpk_ural@mail.ru"
"
                            160561,                             Вологодская обл., Вологодский район, пос. Заря, д. 44                        ",,"
				Заря, ОАО (Вологодская обл)							","+7 (817) 2777960 ; 77-79-81,zarya10808@rambler.ru"
"
                            399635,                             Липецкая обл., Лебедянский район, с. Мокрое                        ","В составе холдинга «Липецкстрой-Л, ООО СУ-11»","
				Мокрое СХП, ООО				,			","+7 (474) 2359500 , +7 (47466) 32300 , +7 (960) 1564556,
                            ,
                        "
"
                            623459,                             Свердловская область, Каменский район, д. Позариха, Механизторов, 13                        ","В составе холдинга «Группа Синара, АО»","
				Каменское, ПАО				,			","+7 (3439) 376239 , +7 (343) 9376135 , +7 (343) 7876126,OAO.Kamenskoe@mail.ru"
"
                                                        Тверская область, Конаковский район, с. Верханово                        ","В составе холдинга «Агропромкомплектация, ООО »","
				Верханово, МК (Агрофирма Дмитрова гора, ОАО) 				,			",
"
                            423450,                             Татарстан респ, г. Альметьевск, ул. Автомобилистов, д. 13                        ",,"
				Союз-Агро, ООО							",+7 (8553) 304508
"
                            614520,                             Пермский край, Пермский район, с. Култаево, ул. Романа Кашина, д. 89                        ",В составе холдинга «АГРОХОЛДИНГ РУСЬ»,"
				Русь, ООО				,			","+7 (342) 2948167,rus.perm@mail.ru"
"
                            396630,                             Воронежская область, Россошанский район, с. Евстратовка                        ","В составе холдинга « Дон-Агро, ООО/Агрофинансъ»","
				Агрофирма Калитва, ООО				,			","+7 (473) 9651374,ag.kalitva@list.ru"
"
                                                        Воронежская обл., Лискинский р-н, с. Петровское                        ","В составе холдинга «ЭкоНива - АПК Холдинг, УК»","
				ЖК Петровское (ЭкоНиваАгро, ООО)				,			"," +7 (47391) 98-1-38,agro@ekoniva-apk.com"
"
                            612140,                             Кировская обл., Даровской р-н, пгт. Даровской, ул. Лесная, д. 1                        ","В составе холдинга «Дороничи, АГ»","
				Даровской маслодельный завод (ДМЗ), ЗАО				,			","8 (83336) 2-13-91,dar-milk@mail.ru"
"
                            397736,                             Воронежская область, Бобровский район, с. Юдановка                        ",,"
				Молочные зори (ЭкоМилк), ООО							","+7 (473) 2505814 , +7 (473) 2505848 , +7 (473) 5058147 , +7 (473) 5058148 , +7 (952) 5533550 , +7 (919) 1844373,ecomilk-gb@bk.ru"
"
                            613400,                             Кировская обл., Куменский район, пгт. Кумены, ул. Кирова, д. 15                        ","В составе холдинга «Дороничи, АГ»","
				Красное знамя, СПК				,			","+7 (83343) 22387,  +7 (83343) 22397,
                            ,
                        ,kz-agro@yandex.ru"
"
                            425222,                             Республика Марий Эл, Медведевский район, с. Кузнецово, ул. мира, 1                        ",,"
				Племзавод Семеновский, ЗАО 							","+7 8362 57-92-40,
                            ,
                        ,semol12@mail.ru"
"
                                                        Воронежская область, Хохольский р-н, рп. Хохольский, ул. 60 лет образования СССР, д. 43                        ","В составе холдинга «Молвест, АО»","
				Хохольский молочный завод, филиал МК Воронежский				,			","(47371) 44-112,
                            ,
                        ,mail@molvest.ru,
                                ,
                                ,
                            ,
                                ,
                                ,
                            "
"
                            394016,                             Воронежская обл, г. Воронеж, ул. 45 Стрелковой Дивизии, д. 259 ""Б                        ","В составе холдинга «Молвест, АО»","
				Малыш, ООО				,			","+7 (473) 2425285 , +7 (473) 2425297 , +7 (473) 2425271,malysh.67@mail.ru,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            ,
                                ,
                                ,
                            "
"
                            422122,                              Татарстан респ., Кукморский район, с. Яныль, ул. Татарстан                        ",,"
				Имени Вахитова, СХПК							",+7 (84364) 47146 
"
                            433504,                             Ульяновская обл, г. Димитровград, шоссе Мулловское, д. 7                        ","В составе холдинга «РУСАГРО ГК, ООО»","
				Биотех, ООО				,			","+7 (8422) 250296 , +7 (84235) 61514"
"
                                                        Краснодарский кр, Усть-Лабинский район, г. Усть-Лабинск, ул. Куйбышева, д. 9                        ","В составе холдинга «Агрохолдинг Кубань, УК (ГК Базовый элемент), (АГРОКУБАНЬ РЕСУРС)»","
				Кубань, ООО Молзавод				,			","+7 (86135) 40940 , +7 (86135) 51165"
"
                            393191,                             Тамбовская обл, г. Котовск, ул. Железнодорожная, д. 2 пом. 2                        ","В составе холдинга «РУСАГРО ГК, ООО»","
				Тамбовский сыровар, ООО				,			",
"
                                                        Московская область, Раменский район, поселок РАОС, д.16                        ",В составе холдинга «HOCHLAND SE»,"
				Хохланд Руссланд, ООО (Hochland Russland)				,			","+7 (495) 7770905 Факс +7 (495) 7770906,
                            ,
                        ,hochland_russland@hochland.com"
"
                            115054,                             Москва, набережная Космодамианская, д. 52 стр. 1 этаж 4 пом. II офис 4                        ",В составе холдинга «Nestlé S.A.»,"
				Фронери рус, ООО				,			",
"
                            690087,                             Приморский край, г. Владивосток, ул. Стрелочная, д. 19                        ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				Владивостокский молочный комбинат, Филиал ОАО ""Вимм Билль Данн""				,			","+7 (423) 2200349 , +7 (423) 2499723,andrukhov@wbd.ru,
                                ,
                                ,
                            "
"
                            127591,                             г. Москва, шоссе Дмитровское, д. 108                         ",В составе холдинга «PepsiCo/Вимм-Билль-Данн/ВБД/ФРИТО-ЛЕЙ ТРЕЙДИНГ КОМПАНИ ГМБХ»,"
				ВБД, АО				,			","	 +7 (495) 9370550, +7 (3439) 666435,
                            ,
                        ,
                                ,
                                ,
                            "
"
                            188300,                             Ленинградская обл., Гатчинский район, г. Гатчина, ул. 120 Гатчинской дивизии, д. 1                        ","В составе холдинга «Галактика, ГК»","
				Комбинат детского питания, ООО (гатчинский)				,			","+7 (812) 7113201 , +7 (81371) 64877 , +7 (81371) 73541 , +7 (81371) 93201 , +7 (81371) 13201"
